"filename", "language", "Python", "PostCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Coding\UARV\admin_panel\buttons.js", "JavaScript", 0, 0, 0, -1, 0, 0, -1
"c:\Coding\UARV\admin_panel\index.html", "HTML", 0, 0, 2, 0, 0, 0, 2
"c:\Coding\UARV\admin_panel\map.js", "JavaScript", 0, 0, 0, 13, 0, 0, 13
"c:\Coding\UARV\admin_panel\mission_planner.html", "HTML", 0, 0, 1, 0, 0, 0, 1
"c:\Coding\UARV\admin_panel\mission_planner.js", "JavaScript", 0, 0, 0, 62, 2, 7, 71
"c:\Coding\UARV\admin_panel\stylesheet.css", "PostCSS", 0, 7, 0, 0, 0, 1, 8
"c:\Coding\UARV\controll_api.py", "Python", 8, 0, 0, 0, -1, -1, 6
"c:\Coding\UARV\mav_bridge.py", "Python", 227, 0, 0, 0, 39, 43, 309
"c:\Coding\UARV\mav_bridge_backup.py", "Python", 889, 0, 0, 0, 178, 188, 1255
"c:\Coding\UARV\mav_test.py", "Python", 144, 0, 0, 0, 21, 27, 192
"Total", "-", 1268, 7, 3, 74, 239, 265, 1856
